"Household_ID","LC_Did_English","Did_Maths","LC_Maths_Level","LC_English_Level","LC_Maths_Points","LC_English_Points","TIPI_Agreeable_YP_W4","TIPI_EmoStab_YP_W4","TIPI_Cons_YP_W4","TIPI_Extra_YP_W4","TIPI_Open_YP_W4","CognitiveNamingFruit_W4","TIPI_Agreeable_PCG_W4","TIPI_EmoStab_PCG_W4","TIPI_Cons_PCG_W4","TIPI_Extra_PCG_W4","TIPI_Open_PCG_W4","Grinds_All_Subjects_W4","Grinds_English_W4","Grinds_Maths_W4","TIPI_Extra_YP_W3","TIPI_Agreeable_YP_W3","TIPI_Cons_YP_W3","TIPI_EmoStab_YP_W3","TIPI_Open_YP_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","TIPI_Extra_SCG_W3","TIPI_Agreeable_SCG_W3","TIPI_Cons_SCG_W3","TIPI_EmoStab_SCG_W3","TIPI_Open_SCG_W3","SDQ_Emo_PCG_W3","SDQ_Conduct_PCG_W3","SDQ_Hyper_PCG_W3","SDQ_Peer_PCG_W3","SDQ_Emo_SCG_W3","SDQ_Conduct_SCG_W3","SDQ_Hyper_SCG_W3","SDQ_Peer_SCG_W3","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","Gender_YP_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","School_Type_W3","Number_Boys_School_W3","Number_Girls_School_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","SDQ_Emo_Res_SCG_W3","SDQ_Good_Conduct_SCG_W3","SDQ_Focus_Behav_SCG_W3","SDQ_Posi_Peer_SCG_W3","Fee_Paying_W3","Non_Fee_Paying_W3","Vocational_W3","Community_College_W3","Comprehensive_School_W3","School_Gender_Type","Girls_Only_School","Boys_Only_School","Mixed_School","School_Gender_Type_W3","Girls_Only_School_W3","Boys_Only_School_W3","Mixed_School_W3"
1000,1,1,"Ordinary","Higher",46,46,4,5.5,5.5,4.5,4.5,11,6.5,6.5,5.5,4,4.5,1,NA,NA,6,4.5,5.5,4.5,6,4.5,6.5,5.5,6,5,NA,NA,NA,NA,NA,0,0,2,1,NA,NA,NA,NA,22,3,7,1,5,NA,5,0,2,5,0,10,9,8,9,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
4000,1,1,"Ordinary","Ordinary/Foundation",15,NA,6,6.5,6,6.5,7,18,5.5,7,6.5,5.5,7,1,NA,NA,5.5,6,5,6,6.5,6.5,6,5.5,6.5,5,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,25,4,7,1,3,NA,2,0,5,5,5,10,9,9,10,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
5000,1,1,"Higher","Higher",95,95,5,6,4.5,6.5,5.5,12,5,4.5,5,5,6.5,0,0,1,5,6,4.5,5,5.5,4,6,4,6,4.5,4,5.5,4,5.5,5,0,0,2,0,3,2,2,0,24,4,8,1,5,6,4,0,4,5,5,10,9,8,10,7,7,8,10,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
6000,1,1,"Ordinary","Ordinary/Foundation",15,15,4,6.5,5.5,2,7,9,5,4.5,3.5,3.5,4.5,0,0,1,3,7,7,7,7,5,4,2,4,6,NA,NA,NA,NA,NA,3,0,5,3,NA,NA,NA,NA,15,1,3,1,3,NA,1,0,2,5,0,7,9,5,7,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
7000,1,1,"Ordinary","Ordinary/Foundation",35,35,5.5,6,4.5,5,5,18,6,6,7,4.5,5,0,NA,NA,5.5,4,3,5.5,4.5,3.5,6,5.5,6.5,7,NA,NA,NA,NA,NA,0,1,2,1,NA,NA,NA,NA,24,4,12,1,4,NA,4,NA,NA,NA,NA,10,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000,1,1,"Ordinary","Higher",45,45,4.5,6.5,5,6,6,13,3.5,4,7,3,5.5,0,1,0,5.5,4,4.5,7,5.5,7,3.5,5,4.5,4.5,NA,NA,NA,NA,NA,1,4,7,2,NA,NA,NA,NA,16,3,5,1,2,NA,1,0,5,5,5,9,5,3,8,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
15000,NA,NA,NA,NA,NA,NA,5,4,5.5,4.5,4,16,6.5,4,6.5,2.5,3,0,NA,NA,3.5,4.5,6,4,5.5,3,6.5,4.5,5,4,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,18,3,6,1,3,NA,1,NA,3,4,4,9,7,9,8,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
17000,1,1,"Higher","Higher",100,100,4.5,3.5,4.5,1.5,5,19,4.5,3.5,6,4,4.5,1,0,1,1,3,6,4.5,3,3,6,5,5,4,2.5,4.5,5.5,4.5,4,2,0,4,5,3,0,0,1,25,2,15,1,6,5,5,0,2,5,0,8,9,6,5,7,9,10,9,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
20000,1,1,"Ordinary","Higher",20,20,4.5,3.5,7,2,6.5,15,4,1.5,5,4,7,0,NA,NA,5,4,6,2.5,5.5,5,4.5,3,2.5,4,NA,NA,NA,NA,NA,8,5,10,0,NA,NA,NA,NA,23,3,11,1,5,NA,3,0,4,3,2,2,4,0,10,NA,NA,NA,NA,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
22000,1,1,"Ordinary","Ordinary/Foundation",25,25,5.5,6.5,6,5.5,6.5,16,NA,NA,NA,NA,NA,1,0,1,4.5,5,7,7,6,6.5,7,7,6.5,7,5.5,4,7,6,7,1,0,2,2,2,0,6,1,25,2,8,1,3,NA,5,0,2,5,0,9,9,8,8,8,9,4,9,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
25000,1,1,"Ordinary","Higher",20,20,5.5,6,5,4,4,20,6.5,5.5,5,7,5,0,1,1,3.5,6,4,3.5,5.5,1,5.5,2,3,4,NA,NA,NA,NA,NA,5,2,4,8,NA,NA,NA,NA,27,2,13,1,4,NA,3,0,5,5,5,5,7,6,2,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
26000,1,1,"Ordinary","Higher",50,50,4,6.5,5.5,4,6.5,11,7,6.5,6.5,5,5.5,0,NA,NA,5.5,4,5,6,4.5,3,6.5,5,6,4.5,NA,NA,NA,NA,NA,4,0,2,2,NA,NA,NA,NA,17,2,14,1,4,NA,4,0,5,5,5,6,9,8,8,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
29000,1,1,"Ordinary","Higher",15,15,7,7,4,4,6,12,5,3.5,5,5.5,5.5,0,NA,NA,3.5,7,4.5,6.5,5.5,4,7,5,6,4,NA,NA,NA,NA,NA,2,0,2,1,NA,NA,NA,NA,19,3,12,1,5,NA,4,0,1,5,0,8,9,8,9,NA,NA,NA,NA,1,0,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
30000,1,1,"Ordinary","Higher",15,15,5,6,4.5,6.5,5.5,14,4,4.5,6.5,6.5,6,1,1,0,6,3.5,6,4,4.5,7,6.5,4,5,5,NA,NA,NA,NA,NA,0,0,4,1,NA,NA,NA,NA,11,3,4,1,5,NA,4,0,2,5,0,10,9,6,9,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
31000,1,1,"Ordinary","Higher",37,37,4,7,4.5,4.5,5.5,17,6.5,6.5,5,6.5,6.5,0,NA,NA,5,3.5,4,6.5,6,7,3.5,2.5,4.5,5.5,NA,NA,NA,NA,NA,3,3,3,0,NA,NA,NA,NA,25,2,9,1,6,NA,5,0,1,2,3,7,6,7,10,NA,NA,NA,NA,1,0,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
32000,1,1,"Ordinary","Ordinary/Foundation",25,25,4.5,5,5.5,4,4.5,7,7,3.5,5,3,4,1,NA,NA,4,4.5,4.5,4.5,5,4.5,4,4.5,4,3.5,NA,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,24,2,6,1,3,NA,3,NA,NA,NA,NA,7,7,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35000,1,1,"Ordinary","Ordinary/Foundation",NA,NA,5,3,4,6.5,5.5,17,4.5,2.5,7,6.5,7,0,NA,NA,6,5,5,3.5,5,6.5,5,7,6,7,NA,NA,NA,NA,NA,1,2,4,0,NA,NA,NA,NA,27,3,7,1,3,NA,3,0,5,5,5,9,7,6,10,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
38000,1,1,"Ordinary","Higher",45,45,4.5,1.5,4,2.5,4.5,21,6,5,7,7,7,0,NA,NA,6.5,3.5,5,4.5,6,1.5,5.5,6,4,5.5,NA,NA,NA,NA,NA,3,0,2,0,NA,NA,NA,NA,26,3,8,1,3,NA,3,0,2,5,0,7,9,8,10,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
41000,1,1,"Higher","Higher",91,91,1.5,5.5,3.5,6.5,5.5,10,6,4.5,6,4,3.5,1,1,1,6.5,3,4,6,6.5,7,6.5,4.5,7,6.5,NA,NA,NA,NA,NA,0,0,3,1,NA,NA,NA,NA,26,3,12,1,6,NA,5,0,2,5,0,10,9,7,9,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
42000,1,1,"Higher","Higher",95,95,5,6,4.5,2.5,4,10,6.5,6.5,7,5,4,1,NA,NA,4,3.5,4,5.5,5.5,4.5,4.5,5,5.5,6.5,NA,NA,NA,NA,NA,1,0,2,2,NA,NA,NA,NA,20,2,14,1,3,NA,2,NA,NA,NA,NA,9,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43000,1,1,"Ordinary","Higher",37,37,6.5,5.5,4.5,6,5.5,17,5,6.5,7,2,5.5,0,NA,NA,4.5,4,5,6,5.5,5,4.5,4,5,5.5,NA,NA,NA,NA,NA,2,0,0,3,NA,NA,NA,NA,26,2,6,1,5,NA,5,NA,NA,NA,NA,8,9,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46000,1,1,"Ordinary","Higher",45,45,5,6,5,4,6,13,5,5,4,4,5.5,0,1,1,3.5,5.5,5,6,5.5,3.5,7,5.5,7,7,NA,NA,NA,NA,NA,1,0,2,3,NA,NA,NA,NA,25,2,11,1,3,NA,1,1,3,2,1,9,9,8,7,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
47000,1,1,"Higher","Higher",NA,NA,2.5,6,4.5,2,5,10,5,4,7,7,6.5,0,NA,NA,3.5,1.5,2.5,5.5,5.5,4.5,6,3.5,6,4,NA,NA,NA,NA,NA,2,0,3,2,NA,NA,NA,NA,27,2,13,1,3,NA,4,0,2,5,0,8,9,7,8,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
48000,1,1,"Ordinary","Higher",35,35,4,4,5.5,4.5,6.5,13,NA,NA,NA,NA,NA,1,0,1,4.5,4,6,4.5,6.5,4,7,5.5,4.5,4.5,NA,NA,NA,NA,NA,3,0,3,1,NA,NA,NA,NA,20,3,8,1,4,NA,1,0,3,2,3,7,9,7,9,NA,NA,NA,NA,0,0,1,0,0,"Mixed",0,0,1,"Mixed",0,0,1
49000,1,1,"Ordinary","Higher",45,45,4.5,4.5,4,6,6.5,12,5,6.5,5,4.5,4.5,0,NA,NA,6.5,5,4.5,5,6.5,6,6.5,4.5,7,6.5,NA,NA,NA,NA,NA,0,0,2,0,NA,NA,NA,NA,18,2,10,1,3,NA,4,0,2,5,5,10,9,8,10,NA,NA,NA,NA,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
51000,1,1,"Higher","Higher",110,NA,5.5,6.5,6.5,6.5,4,6,5,5,5.5,5.5,5.5,1,NA,NA,6,4.5,6,6.5,6,6,7,5,7,7,NA,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA,15,2,5,1,6,NA,4,0,5,5,5,10,9,9,10,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
52000,1,1,"Ordinary","Higher",45,45,5.5,4.5,6,4.5,4,17,6,2.5,5,3,4.5,0,NA,NA,5.5,3.5,7,6.5,5.5,5,4,3,4,5,NA,NA,NA,NA,NA,3,2,5,0,NA,NA,NA,NA,22,3,11,1,3,NA,2,0,5,5,5,7,7,5,10,NA,NA,NA,NA,0,0,0,0,1,"Mixed",0,0,1,"Mixed",0,0,1
53000,1,1,"Higher","Ordinary/Foundation",90,90,6,3.5,6,1,3.5,8,6.5,4.5,3.5,2,2,0,NA,NA,1.5,4,4,1.5,3,1,6,4.5,1.5,2,NA,NA,NA,NA,NA,4,0,3,6,NA,NA,NA,NA,21,4,7,1,3,NA,2,0,2,4,0,6,9,7,4,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
58000,1,1,"Ordinary","Higher",28,28,4.5,4.5,6,4,5.5,12,4.5,5.5,5,4.5,5,0,NA,NA,4.5,4.5,6,5,5,3.5,5.5,4.5,5.5,4.5,NA,NA,NA,NA,NA,3,0,0,2,NA,NA,NA,NA,14,2,7,1,3,NA,4,0,2,4,4,7,9,10,8,NA,NA,NA,NA,0,1,0,0,0,"Mixed",0,0,1,"Mixed",0,0,1
59000,1,1,"Ordinary","Ordinary/Foundation",20,20,4,6.5,6,5.5,7,7,7,5.5,7,5.5,7,0,NA,NA,7,5,7,3,5.5,6,6.5,7,5,4.5,NA,NA,NA,NA,NA,1,0,1,0,NA,NA,NA,NA,20,1,5,1,3,NA,4,0,2,5,0,9,9,9,10,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
60000,1,1,"Foundation","Ordinary/Foundation",0,0,6,6,5.5,5.5,6.5,14,6.5,7,6,6,4.5,0,NA,NA,6,6.5,4.5,6,4.5,4.5,6.5,6,6.5,4.5,NA,NA,NA,NA,NA,0,1,4,1,NA,NA,NA,NA,26,1,8,1,5,NA,1,0,2,5,0,10,8,6,9,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
61000,1,1,"Higher","Ordinary/Foundation",100,100,5,6.5,4,6.5,6.5,10,6.5,5,5,5.5,5,1,NA,NA,4.5,5.5,3,6,6,6.5,6,4.5,7,4.5,NA,NA,NA,NA,NA,1,3,3,0,NA,NA,NA,NA,19,4,9,1,3,NA,5,NA,NA,NA,NA,9,6,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62000,1,1,"Ordinary","Higher",40,40,4.5,3,4.5,4.5,5.5,12,5,4.5,4.5,4.5,5,1,NA,NA,6,3.5,3.5,5.5,4.5,6,4.5,4.5,5.5,4.5,NA,NA,NA,NA,NA,0,1,6,0,NA,NA,NA,NA,20,3,5,1,4,NA,4,NA,NA,NA,NA,10,8,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66000,1,1,"Ordinary","Ordinary/Foundation",50,NA,3,3,5,4.5,5.5,16,7,5.5,7,3,5,0,NA,NA,4.5,4,5,4.5,6,4.5,3.5,3.5,3,5,2.5,4,3,3,4.5,0,3,3,3,5,3,7,4,16,4,12,1,5,5,5,0,2,5,0,10,6,7,7,5,6,3,6,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
67000,1,1,"Ordinary","Ordinary/Foundation",40,40,4.5,6,5,4,7,10,4.5,4.5,5.5,4,4.5,0,NA,NA,4.5,4,5,6,6,4.5,4,4.5,4,3.5,NA,NA,NA,NA,NA,3,1,3,4,NA,NA,NA,NA,20,3,8,1,4,NA,1,NA,NA,NA,NA,7,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69000,NA,NA,NA,NA,NA,NA,6.5,7,4.5,6,6.5,15,6,3,5.5,5.5,5.5,1,NA,NA,5,3.5,4.5,5.5,7,6,6,4.5,7,6,NA,NA,NA,NA,NA,0,1,3,1,NA,NA,NA,NA,29,4,9,1,4,NA,2,NA,4,4,4,10,8,7,9,NA,NA,NA,NA,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
72000,1,1,"Ordinary","Ordinary/Foundation",15,15,4.5,5.5,4,3.5,7,17,7,7,7,6,6.5,0,NA,NA,5,3,6.5,4.5,7,5,7,3.5,7,7,NA,NA,NA,NA,NA,0,1,5,3,NA,NA,NA,NA,22,2,9,1,6,NA,4,0,2,5,0,10,8,5,7,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
73000,1,1,"Ordinary","Higher",45,45,4,6.5,5.5,4.5,5.5,14,4,6,6,2,4,1,NA,NA,NA,5,6,5.5,7,4.5,6,5,6.5,7,NA,NA,NA,NA,NA,1,0,0,1,NA,NA,NA,NA,26,4,14,1,6,NA,2,0,4,4,4,9,9,10,9,NA,NA,NA,NA,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
76000,1,1,"Ordinary","Higher",60,60,3,1,6,4,6.5,15,6,3,7,5,5,1,NA,NA,4,3.5,4,4,4.5,2,2,3.5,2,1.5,NA,NA,NA,NA,NA,7,3,8,8,NA,NA,NA,NA,24,3,10,1,4,NA,3,0,2,5,0,3,6,2,2,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
77000,1,1,"Higher","Higher",110,NA,4,4,4.5,1,5,11,4,3,4.5,4,3,1,NA,NA,2.5,5.5,4.5,3,6,2,6.5,7,5.5,7,NA,NA,NA,NA,NA,4,0,2,4,NA,NA,NA,NA,24,3,10,1,3,NA,2,0,2,5,0,6,9,8,6,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
78000,1,1,"Ordinary","Higher",30,30,4,5,6,6,4.5,20,6.5,7,6,6,5,1,NA,NA,6.5,3.5,3.5,5.5,6.5,6.5,5.5,2,5.5,6,NA,NA,NA,NA,NA,1,5,10,2,NA,NA,NA,NA,35,3,11,1,5,NA,5,0,1,5,0,9,4,0,8,NA,NA,NA,NA,1,0,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
80000,1,1,"Ordinary","Higher",35,35,5,5.5,3.5,6.5,7,19,6,6,6.5,6,5,1,NA,NA,6.5,3,6.5,5,6,6.5,6,3.5,4.5,4.5,6,4.5,2.5,3,3.5,4,3,4,0,3,4,9,1,39,2,8,1,4,6,5,1,4,4,4,6,6,6,10,7,5,1,9,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
83000,1,1,"Ordinary","Higher",45,45,6,4.5,4.5,4,5.5,21,6.5,7,7,3.5,6,0,NA,NA,3.5,5.5,5.5,3.5,4,2,6,7,5,5,NA,NA,NA,NA,NA,3,1,0,3,NA,NA,NA,NA,24,3,10,1,6,NA,5,NA,NA,NA,NA,7,8,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85000,1,1,"Foundation","Ordinary/Foundation",NA,NA,6.5,6,6,5.5,6.5,12,7,6.5,6.5,6,7,1,NA,NA,4.5,5,6,5,6.5,5.5,7,7,5,7,NA,NA,NA,NA,NA,1,0,5,3,NA,NA,NA,NA,10,2,6,1,3,NA,5,0,4,4,5,9,9,5,7,NA,NA,NA,NA,0,0,0,1,0,"Mixed",0,0,1,"Mixed",0,0,1
87000,1,1,"Ordinary","Ordinary/Foundation",0,0,4,5,4.5,5.5,5.5,10,4,5.5,7,5,6.5,1,0,1,2,6,6.5,3,5.5,2.5,4,3.5,5.5,5.5,NA,NA,NA,NA,NA,4,2,7,3,NA,NA,NA,NA,17,3,11,1,4,NA,3,0,2,5,0,6,7,3,7,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
90000,1,1,"Ordinary","Higher",30,30,4.5,3,4.5,7,7,14,6.5,6,6.5,5.5,6.5,1,NA,NA,4.5,6,4.5,7,6.5,7,6.5,4,5.5,6,4,4,4,6,5.5,0,0,2,3,3,2,3,4,25,4,13,1,5,4,5,NA,NA,NA,NA,10,9,8,7,7,7,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91000,1,1,"Foundation","Ordinary/Foundation",0,0,5,5,5.5,5.5,5,16,6,5.5,5.5,2.5,4,1,NA,NA,6,5,4.5,4,6,5.5,4,4.5,4,5,NA,NA,NA,NA,NA,1,1,7,2,NA,NA,NA,NA,31,1,7,1,3,NA,5,0,2,5,0,9,8,3,8,NA,NA,NA,NA,0,1,0,0,0,"Boys Only",0,1,0,"Boys Only",0,1,0
