"ID","JC_Maths_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","SDQ_Emo_Res_PCG_W2","SDQ_Good_Conduct_PCG_W2","SDQ_Focus_Behav_PCG_W2","SDQ_Posi_Peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_Maths_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","SDQ_Emo_Res_PCG_W3","SDQ_Good_Conduct_PCG_W3","SDQ_Focus_Behav_PCG_W3","SDQ_Posi_Peer_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_Maths_Standardized","LC_Maths_Standardized"
5000,11,90,75,145,10,10,10,10,6,6,4,0,0,1,1,95,24,4,8,10,9,8,10,5,6,4,0,0,1,1,0.615505087650072,0.823358736216373
17000,11,100,85,135,7,9,10,7,6,5,5,0,0,0,1,100,25,2,15,8,9,6,5,6,5,5,0,0,0,1,0.615505087650072,0.965621536995904
66000,11,85,70,145,8,7,7,5,4,3,3,0,0,0,1,50,16,4,12,10,6,7,7,5,5,5,0,0,0,1,0.615505087650072,-0.457006470799405
102000,10,85,75,121,9,6,6,10,6,4,5,0,1,1,1,37,23,3,15,7,6,4,8,6,4,5,0,1,1,1,-0.0528199401458571,-0.826889752826185
108000,10,95,30,97,9,7,2,9,4,2,2,0,0,0,1,25,20,2,10,8,9,6,6,4,2,4,0,0,0,1,-0.0528199401458571,-1.16832047469706
111000,11,70,80,114,9,10,10,8,5,2,3,0,0,1,1,81,22,4,4,8,9,9,7,4,2,3,0,0,1,1,0.615505087650072,0.425022894033687
112000,9,55,50,114,6,9,3,10,3,3,3,0,0,1,1,56,19,3,9,8,6,6,9,3,2,5,0,0,1,1,-0.721144967941786,-0.286291109863968
124000,9,90,50,121,9,10,1,6,3,3,2,0,0,0,1,45,36,3,13,7,9,3,5,3,3,3,0,0,0,1,-0.721144967941786,-0.599269271578936
133000,11,55,85,110,8,10,10,10,4,3,4,0,0,0,1,102,16,3,9,7,9,10,9,4,3,4,0,0,0,1,0.615505087650072,1.02252665730772
134000,10,80,90,124,8,10,8,10,5,5,4,0,0,0,1,81,24,2,12,8,9,9,7,5,5,4,0,0,0,1,-0.0528199401458571,0.425022894033687
143000,11,90,45,124,10,10,9,8,4,5,3,0,0,0,1,113,25,2,8,10,8,10,8,3,5,3,0,0,0,1,0.615505087650072,1.33550481902268
146000,10,40,85,161,10,10,9,9,3,2,5,0,0,0,1,37,21,4,7,9,9,5,8,3,2,1,0,0,0,1,-0.0528199401458571,-0.826889752826185
179000,11,95,50,117,9,10,6,5,2,4,3,0,0,1,1,85,33,4,16,9,8,7,7,1,3,4,0,0,1,1,0.615505087650072,0.538833134657312
190000,9,60,65,128,10,10,8,10,3,4,4,0,0,0,1,60,23,4,7,10,9,10,8,3,4,3,0,0,0,1,-0.721144967941786,-0.172480869240343
2e+05,10,100,75,145,9,10,9,5,4,3,5,0,0,0,1,95,33,4,16,7,9,9,6,4,3,3,0,0,0,1,-0.0528199401458571,0.823358736216373
201000,10,45,35,95,9,10,10,10,3,4,3,0,0,0,1,45,23,2,10,8,9,10,9,3,4,5,0,0,0,1,-0.0528199401458571,-0.599269271578936
206000,12,95,90,131,9,10,10,9,6,6,5,0,0,0,1,110,33,4,11,8,9,8,10,6,6,5,0,0,0,1,1.283830115446,1.25014713855497
212000,10,95,80,103,6,9,9,9,6,6,5,0,1,1,1,50,20,4,13,8,7,6,8,6,5,5,0,1,1,1,-0.0528199401458571,-0.457006470799405
216000,10,50,65,110,6,8,5,7,5,5,5,0,0,1,1,113,20,4,9,7,8,5,5,5,5,5,0,0,1,1,-0.0528199401458571,1.33550481902268
228000,12,85,95,140,10,10,10,8,4,3,5,0,1,0,1,125,11,3,11,10,9,10,9,4,3,5,0,1,0,1,1.283830115446,1.67693554089356
234000,10,35,35,103,6,10,7,10,5,2,5,0,0,0,1,25,14,2,4,9,8,6,10,5,2,5,0,0,0,1,-0.0528199401458571,-1.16832047469706
243000,11,85,85,145,10,10,9,9,6,3,5,0,0,0,1,110,25,4,14,10,9,8,7,6,3,5,0,0,0,1,0.615505087650072,1.25014713855497
250000,10,40,45,99,10,10,10,8,2,4,4,1,0,1,1,28,16,1,5,10,9,10,10,2,4,5,1,0,1,1,-0.0528199401458571,-1.08296279422934
256000,10,80,55,99,9,10,10,9,2,2,5,0,0,0,1,45,20,3,6,7,9,10,6,2,2,5,0,0,0,1,-0.0528199401458571,-0.599269271578936
262000,9,60,50,95,8,10,8,9,3,4,2,0,0,0,1,40,20,1,8,9,9,8,10,3,4,5,0,0,0,1,-0.721144967941786,-0.741532072358467
266000,10,95,70,110,10,9,9,7,3,6,5,0,0,1,1,85,25,3,11,9,9,9,10,3,6,5,0,0,1,1,-0.0528199401458571,0.538833134657312
274000,11,95,65,140,4,9,9,9,4,3,4,0,1,1,1,113,27,4,13,10,7,8,9,4,3,5,0,1,1,1,0.615505087650072,1.33550481902268
275000,9,50,55,103,2,7,0,7,5,3,4,0,0,1,1,50,33,1,9,6,7,1,6,5,3,3,0,0,1,1,-0.721144967941786,-0.457006470799405
280000,11,75,55,99,10,9,9,7,4,3,5,0,0,1,1,113,15,4,10,10,9,10,9,4,3,3,0,0,1,1,0.615505087650072,1.33550481902268
295000,10,75,70,124,10,10,10,9,3,2,4,0,0,0,1,45,26,4,9,10,9,9,10,3,2,4,0,0,0,1,-0.0528199401458571,-0.599269271578936
301000,10,90,85,121,10,10,8,10,5,3,3,0,0,0,1,45,28,3,11,10,9,10,9,5,3,5,0,0,0,1,-0.0528199401458571,-0.599269271578936
308000,10,80,80,124,10,10,10,8,5,4,5,0,1,1,1,46,22,3,15,10,8,8,9,4,3,5,0,1,1,1,-0.0528199401458571,-0.570816711423029
310000,10,85,70,129,8,10,5,9,3,3,5,0,0,1,1,46,33,3,13,8,9,7,8,3,3,5,0,0,1,1,-0.0528199401458571,-0.570816711423029
314000,11,55,75,154,8,10,9,10,3,2,1,0,0,0,1,81,35,4,9,10,9,10,10,3,2,4,0,0,0,1,0.615505087650072,0.425022894033687
336000,9,25,45,110,9,9,3,9,6,6,4,0,0,0,1,40,14,2,7,8,9,7,9,5,5,5,0,0,0,1,-0.721144967941786,-0.741532072358467
344000,11,75,90,154,10,10,7,10,4,2,3,1,0,1,1,50,26,3,6,9,9,8,10,4,2,5,1,0,1,1,0.615505087650072,-0.457006470799405
365000,6,20,30,107,9,9,7,8,4,5,2,0,0,1,1,25,11,1,7,7,8,4,9,5,3,4,0,0,1,1,-2.72612005132957,-1.16832047469706
378000,9,50,65,99,10,10,9,10,4,6,5,0,0,0,1,20,19,4,8,10,9,10,8,4,6,5,0,0,0,1,-0.721144967941786,-1.31058327547659
392000,11,80,75,140,7,10,9,10,6,6,5,0,1,0,1,110,28,3,12,4,9,10,8,6,6,5,0,1,0,1,0.615505087650072,1.25014713855497
397000,11,80,65,129,9,9,4,8,4,4,5,0,0,0,1,71,22,3,8,8,8,4,10,4,4,5,0,0,0,1,0.615505087650072,0.140497292474625
418000,12,95,70,114,10,10,7,10,4,4,3,0,0,1,1,110,26,4,14,10,8,8,7,4,3,4,0,0,1,1,1.283830115446,1.25014713855497
425000,12,80,85,154,9,9,10,8,4,6,4,0,0,0,1,125,26,3,15,10,9,10,8,4,6,5,0,0,0,1,1.283830115446,1.67693554089356
437000,12,60,65,117,9,10,6,10,3,4,5,0,0,1,1,113,34,4,3,9,9,10,9,3,4,5,0,0,1,1,1.283830115446,1.33550481902268
440000,9,30,25,114,10,10,10,10,3,2,4,0,0,0,1,45,18,2,9,10,9,10,8,3,2,4,1,0,0,1,-0.721144967941786,-0.599269271578936
442000,8,100,95,117,10,10,7,8,3,3,4,0,0,0,1,37,28,4,13,10,7,2,8,3,3,4,0,0,1,1,-1.38946999573772,-0.826889752826185
447000,10,75,75,110,10,10,6,8,2,2,4,0,0,1,1,46,22,4,13,10,8,7,10,2,2,4,0,0,1,1,-0.0528199401458571,-0.570816711423029
476000,7,55,35,117,7,9,5,10,5,6,4,0,0,0,1,15,26,0,4,7,7,6,9,5,4,2,0,0,0,1,-2.05779502353364,-1.45284607625612
485000,12,65,90,140,7,8,10,9,4,4,4,0,0,1,1,113,16,4,16,9,8,8,9,4,5,3,0,0,1,1,1.283830115446,1.33550481902268
489000,9,70,55,121,10,10,6,10,5,3,4,0,0,0,1,46,22,3,10,9,9,7,8,3,3,5,0,0,0,1,-0.721144967941786,-0.570816711423029
491000,8,40,70,131,8,7,3,10,3,3,1,0,0,1,1,25,25,4,8,7,7,2,9,5,3,2,0,0,1,1,-1.38946999573772,-1.16832047469706
494000,6,40,45,99,6,8,6,9,1,2,2,0,0,1,1,0,21,1,4,10,6,6,9,1,2,1,0,0,1,1,-2.72612005132957,-1.87963447859471
495000,9,75,60,114,9,9,7,9,5,2,4,0,0,1,1,85,28,4,8,10,8,10,10,5,2,5,0,0,1,1,-0.721144967941786,0.538833134657312
496000,11,75,95,129,6,9,9,8,6,3,4,0,0,1,1,125,29,4,8,6,9,8,9,5,3,3,0,0,1,1,0.615505087650072,1.67693554089356
497000,11,95,65,135,9,7,5,9,4,6,4,0,0,0,1,95,24,3,12,9,7,4,9,3,6,2,0,0,0,1,0.615505087650072,0.823358736216373
5e+05,11,75,90,117,9,10,10,10,4,5,1,0,0,1,1,50,20,3,11,9,8,9,10,3,5,4,0,0,1,1,0.615505087650072,-0.457006470799405
504000,11,85,85,124,9,10,8,9,4,6,4,0,0,1,1,110,20,4,10,10,8,10,8,3,6,4,0,0,1,1,0.615505087650072,1.25014713855497
505000,11,95,75,124,7,6,5,7,4,4,5,0,0,1,1,46,22,2,12,9,7,6,9,4,4,5,0,0,0,1,0.615505087650072,-0.570816711423029
517000,7,75,10,99,8,10,7,9,6,2,2,0,0,1,1,25,30,2,12,2,9,7,5,6,2,3,0,0,0,1,-2.05779502353364,-1.16832047469706
522000,11,60,65,110,9,8,2,9,3,3,2,0,0,1,1,91,29,4,6,10,9,6,9,3,3,2,0,0,1,1,0.615505087650072,0.709548495592749
528000,12,95,80,129,10,9,10,10,6,6,5,0,1,0,1,105,23,3,12,9,8,6,8,6,5,5,0,1,0,1,1.283830115446,1.10788433777544
533000,11,80,60,95,9,10,10,10,6,4,5,0,0,0,1,85,26,2,8,6,7,9,10,6,4,5,0,0,0,1,0.615505087650072,0.538833134657312
534000,12,100,95,145,4,9,10,9,3,6,5,0,1,0,1,125,23,3,15,2,7,7,9,3,6,5,0,1,0,1,1.283830115446,1.67693554089356
535000,11,55,85,110,10,8,6,10,4,2,2,0,0,0,1,45,14,4,9,10,9,6,10,4,2,4,0,0,0,1,0.615505087650072,-0.599269271578936
536000,10,85,65,129,6,9,3,5,3,6,4,0,0,0,1,25,32,4,12,7,8,6,4,3,6,4,0,0,0,1,-0.0528199401458571,-1.16832047469706
537000,11,85,85,135,10,10,10,10,3,5,5,0,0,0,1,113,17,4,14,10,9,10,9,3,5,5,0,0,0,1,0.615505087650072,1.33550481902268
538000,11,95,75,129,10,8,6,10,6,6,5,0,0,0,1,105,23,4,16,10,8,9,9,6,5,5,0,0,0,1,0.615505087650072,1.10788433777544
539000,10,75,70,135,10,10,8,10,3,2,3,0,0,0,1,102,12,3,7,10,9,7,10,3,2,3,0,0,0,1,-0.0528199401458571,1.02252665730772
540000,9,65,55,121,10,7,8,7,3,3,4,0,0,0,1,20,30,1,10,8,6,7,2,3,3,4,0,0,0,1,-0.721144967941786,-1.31058327547659
544000,9,65,55,114,9,10,9,9,3,3,4,0,0,1,1,45,20,2,8,8,9,9,6,3,3,5,0,0,1,1,-0.721144967941786,-0.599269271578936
546000,9,65,15,95,6,9,7,10,1,3,2,1,0,1,1,0,26,2,9,9,9,9,10,1,3,2,1,0,1,1,-0.721144967941786,-1.87963447859471
547000,9,80,25,140,8,8,7,9,4,4,4,0,0,0,1,37,31,2,11,7,9,7,9,5,4,4,0,0,0,1,-0.721144967941786,-0.826889752826185
