"ID","JC_English_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","TIPI_Extra_PCG_W2","TIPI_Agreeable_PCG_W2","TIPI_Cons_PCG_W2","TIPI_EmoStab_PCG_W2","TIPI_Open_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_English_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_English_Standardized","LC_English_Standardized"
5000,11,90,75,145,6.5,7,7,7,7,6,6,4,0,0,1,1,95,24,4,8,4,6,4,6,4.5,5,6,4,0,0,1,1,0.59790895742049,1.51033551268691
17000,10,100,85,135,2.5,3,3,4,4.5,6,5,5,0,0,0,1,100,25,2,15,3,6,5,5,4,6,5,5,0,0,0,1,-0.286290168315587,1.68780093675163
102000,12,85,75,121,7,6.5,4.5,7,0.5,6,4,5,0,1,1,1,37,23,3,15,6,5,1,4.5,6,6,4,5,0,1,1,1,1.48210808315657,-0.548263406463833
108000,10,95,30,97,7,2,2.5,5.5,3,4,2,2,0,0,0,1,25,20,2,10,4,5.5,2,6,6,4,2,4,0,0,0,1,-0.286290168315587,-0.974180424219159
111000,10,70,80,114,4.5,2.5,1.5,3,6,5,2,3,0,0,1,1,81,22,4,4,3,6,4.5,5.5,5,4,2,3,0,0,1,1,-0.286290168315587,1.0134323253057
124000,9,90,50,121,7,7,0.5,1,5,3,3,2,0,0,0,1,45,36,3,13,6,6,1.5,4,5.5,3,3,3,0,0,0,1,-1.17048929405166,-0.264318727960282
134000,11,80,90,124,1,5,1.5,1.5,4,5,5,4,0,0,0,1,81,24,2,12,2,7,6.5,5,6,5,5,4,0,0,0,1,0.59790895742049,1.0134323253057
146000,9,40,85,161,7,7,7,7,6.5,3,2,5,0,0,0,1,37,21,4,7,3.5,7,7,6,4.5,3,2,1,0,0,0,1,-1.17048929405166,-0.548263406463833
179000,11,95,50,117,5,5,2.5,3,3.5,2,4,3,0,0,1,1,85,33,4,16,5,6,5.5,6,7,1,3,4,0,0,1,1,0.59790895742049,1.15540466455747
190000,11,60,65,128,7,7,7,5,6,3,4,4,0,0,0,1,60,23,4,7,7,7,7,7,7,3,4,3,0,0,0,1,0.59790895742049,0.268077544233875
2e+05,10,100,75,145,4,3.5,2,6.5,5.5,4,3,5,0,0,0,1,95,33,4,16,4.5,7,5,7,6.5,4,3,3,0,0,0,1,-0.286290168315587,1.51033551268691
201000,10,45,35,95,3,7,3,3.5,6,3,4,3,0,0,0,1,45,23,2,10,5,7,7,5,7,3,4,5,0,0,0,1,-0.286290168315587,-0.264318727960282
212000,10,95,80,103,5,4.5,4.5,5,6.5,6,6,5,0,1,1,1,50,20,4,13,4,4,5,4,5,6,5,5,0,1,1,1,-0.286290168315587,-0.0868533038955631
234000,11,35,35,103,4.5,7,6,6,7,5,2,5,0,0,0,1,25,14,2,4,4.5,6.5,4,4,5,5,2,5,0,0,0,1,0.59790895742049,-0.974180424219159
250000,11,40,45,99,6.5,3.5,3.5,3.5,3.5,2,4,4,1,0,1,1,28,16,1,5,7,7,7,7,4,2,4,5,1,0,1,1,0.59790895742049,-0.867701169780327
256000,10,80,55,99,4,7,7,7,4.5,2,2,5,0,0,0,1,45,20,3,6,4.5,7,7,5.5,5,2,2,5,0,0,0,1,-0.286290168315587,-0.264318727960282
262000,10,60,50,95,3.5,7,2,5.5,2.5,3,4,2,0,0,0,1,40,20,1,8,3.5,7,7,5.5,5,3,4,5,0,0,0,1,-0.286290168315587,-0.441784152025001
266000,10,95,70,110,7,7,4.5,7,7,3,6,5,0,0,1,1,85,25,3,11,5,7,6.5,7,7,3,6,5,0,0,1,1,-0.286290168315587,1.15540466455747
275000,9,50,55,103,1.5,4.5,4,1.5,3,5,3,4,0,0,1,1,50,33,1,9,4,6,5.5,4,4,5,3,3,0,0,1,1,-1.17048929405166,-0.0868533038955631
295000,12,75,70,124,7,7,7,7,3.5,3,2,4,0,0,0,1,45,26,4,9,6,6.5,6,6,6,3,2,4,0,0,0,1,1.48210808315657,-0.264318727960282
301000,11,90,85,121,5,3,3.5,6.5,2,5,3,3,0,0,0,1,45,28,3,11,4.5,6,6,6,6.5,5,3,5,0,0,0,1,0.59790895742049,-0.264318727960282
308000,10,80,80,124,3.5,6.5,3,3,2.5,5,4,5,0,1,1,1,46,22,3,15,4.5,6.5,5,6,4.5,4,3,5,0,1,1,1,-0.286290168315587,-0.228825643147338
310000,12,85,70,129,4,7,4.5,5,7,3,3,5,0,0,1,1,46,33,3,13,4,7,7,7,6.5,3,3,5,0,0,1,1,1.48210808315657,-0.228825643147338
314000,12,55,75,154,5,5,1.5,7,3,3,2,1,0,0,0,1,81,35,4,9,4.5,4.5,7,7,6,3,2,4,0,0,0,1,1.48210808315657,1.0134323253057
336000,9,25,45,110,3.5,3.5,2.5,1.5,1.5,6,6,4,0,0,0,1,40,14,2,7,5.5,6,3.5,5.5,4,5,5,5,0,0,0,1,-1.17048929405166,-0.441784152025001
344000,9,75,90,154,3.5,7,6.5,7,3.5,4,2,3,1,0,1,1,50,26,3,6,3.5,7,5,7,5.5,4,2,5,1,0,1,1,-1.17048929405166,-0.0868533038955631
365000,6,20,30,107,7,3.5,1.5,1.5,3.5,4,5,2,0,0,1,1,25,11,1,7,5,5,4.5,4.5,4.5,5,3,4,0,0,1,1,-3.82308667125989,-0.974180424219159
378000,10,50,65,99,5.5,7,5,7,6,4,6,5,0,0,0,1,20,19,4,8,7,7,7,7,6.5,4,6,5,0,0,0,1,-0.286290168315587,-1.15164584828388
397000,10,80,65,129,2.5,5,1.5,4,5,4,4,5,0,0,0,1,71,22,3,8,7,6,3.5,5.5,5,4,4,5,0,0,0,1,-0.286290168315587,0.658501477176257
440000,10,30,25,114,3.5,7,7,7,7,3,2,4,0,0,0,1,45,18,2,9,6.5,7,6.5,7,7,3,2,4,1,0,0,1,-0.286290168315587,-0.264318727960282
442000,9,100,95,117,3.5,3,5,3.5,7,3,3,4,0,0,0,1,37,28,4,13,7,5.5,2,6.5,6,3,3,4,0,0,1,1,-1.17048929405166,-0.548263406463833
476000,10,55,35,117,3.5,7,4,4,4,5,6,4,0,0,0,1,15,26,0,4,3.5,6,3.5,5.5,4,5,4,2,0,0,0,1,-0.286290168315587,-1.3291112723486
489000,11,70,55,121,4,5.5,1.5,3.5,2,5,3,4,0,0,0,1,46,22,3,10,3,4.5,4.5,6.5,3.5,3,3,5,0,0,0,1,0.59790895742049,-0.228825643147338
491000,8,40,70,131,3,4,5.5,3.5,3.5,3,3,1,0,0,1,1,25,25,4,8,2,3.5,4.5,4,5.5,5,3,2,0,0,1,1,-2.05468841978774,-0.974180424219159
