"ID","JC_Maths_Points","Cog_VR_W2","Cog_NA_W2","Cog_Matrices_W2","TIPI_Extra_PCG_W2","TIPI_Agreeable_PCG_W2","TIPI_Cons_PCG_W2","TIPI_EmoStab_PCG_W2","TIPI_Open_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_Quin_Eq_W2","DEIS_W2","Fee_Paying_W2","Mixed_W2","Gender_YP_W2","LC_Maths_Points","Cog_Naming_Total_W3","Cog_Maths_Total_W3","Cog_Vocabulary_W3","TIPI_Extra_PCG_W3","TIPI_Agreeable_PCG_W3","TIPI_Cons_PCG_W3","TIPI_EmoStab_PCG_W3","TIPI_Open_PCG_W3","PCG_Educ_W3","SCG_Educ_W3","Income_Quin_Eq_W3","DEIS_W3","Fee_Paying_W3","Mixed_W3","Gender_YP_W3","JC_Maths_Standardized","LC_Maths_Standardized"
5000,11,90,75,145,6.5,7,7,7,7,6,6,4,0,0,1,1,95,24,4,8,4,6,4,6,4.5,5,6,4,0,0,1,1,0.616475100723727,0.824944259887501
17000,11,100,85,135,2.5,3,3,4,4.5,6,5,5,0,0,0,1,100,25,2,15,3,6,5,5,4,6,5,5,0,0,0,1,0.616475100723727,0.967291523570891
66000,11,85,70,145,4.5,3,4,3.5,4.5,4,3,3,0,0,0,1,50,16,4,12,4.5,3.5,3.5,3,5,5,5,5,0,0,0,1,0.616475100723727,-0.456181113263003
102000,10,85,75,121,7,6.5,4.5,7,0.5,6,4,5,0,1,1,1,37,23,3,15,6,5,1,4.5,6,6,4,5,0,1,1,1,-0.0519918759646515,-0.826283998839816
108000,10,95,30,97,7,2,2.5,5.5,3,4,2,2,0,0,0,1,25,20,2,10,4,5.5,2,6,6,4,2,4,0,0,0,1,-0.0519918759646515,-1.16791743167995
111000,11,70,80,114,4.5,2.5,1.5,3,6,5,2,3,0,0,1,1,81,22,4,4,3,6,4.5,5.5,5,4,2,3,0,0,1,1,0.616475100723727,0.426371921574011
112000,9,55,50,114,2.5,5,1,2,1,3,3,3,0,0,1,1,56,19,3,9,3.5,4,3.5,2,4,3,2,5,0,0,1,1,-0.72045885265303,-0.285364396842936
124000,9,90,50,121,7,7,0.5,1,5,3,3,2,0,0,0,1,45,36,3,13,6,6,1.5,4,5.5,3,3,3,0,0,0,1,-0.72045885265303,-0.598528376946393
133000,11,55,85,110,3,7,1,3,5,4,3,4,0,0,0,1,102,16,3,9,2,6.5,5,4,3,4,3,4,0,0,0,1,0.616475100723727,1.02423042904425
134000,10,80,90,124,1,5,1.5,1.5,4,5,5,4,0,0,0,1,81,24,2,12,2,7,6.5,5,6,5,5,4,0,0,0,1,-0.0519918759646515,0.426371921574011
143000,11,90,45,124,4.5,7,5,7,6.5,4,5,3,0,0,0,1,113,25,2,8,5.5,7,7,7,7,3,5,3,0,0,0,1,0.616475100723727,1.3373944091477
146000,10,40,85,161,7,7,7,7,6.5,3,2,5,0,0,0,1,37,21,4,7,3.5,7,7,6,4.5,3,2,1,0,0,0,1,-0.0519918759646515,-0.826283998839816
179000,11,95,50,117,5,5,2.5,3,3.5,2,4,3,0,0,1,1,85,33,4,16,5,6,5.5,6,7,1,3,4,0,0,1,1,0.616475100723727,0.540249732520723
190000,9,60,65,128,7,7,7,5,6,3,4,4,0,0,0,1,60,23,4,7,7,7,7,7,7,3,4,3,0,0,0,1,-0.72045885265303,-0.171486585896225
2e+05,10,100,75,145,4,3.5,2,6.5,5.5,4,3,5,0,0,0,1,95,33,4,16,4.5,7,5,7,6.5,4,3,3,0,0,0,1,-0.0519918759646515,0.824944259887501
201000,10,45,35,95,3,7,3,3.5,6,3,4,3,0,0,0,1,45,23,2,10,5,7,7,5,7,3,4,5,0,0,0,1,-0.0519918759646515,-0.598528376946393
206000,12,95,90,131,2,3.5,7,5,6,6,6,5,0,0,0,1,110,33,4,11,3.5,6.5,5,5.5,5,6,6,5,0,0,0,1,1.28494207741211,1.25198605093767
212000,10,95,80,103,5,4.5,4.5,5,6.5,6,6,5,0,1,1,1,50,20,4,13,4,4,5,4,5,6,5,5,0,1,1,1,-0.0519918759646515,-0.456181113263003
216000,10,50,65,110,3,3.5,3.5,4.5,2.5,5,5,5,0,0,1,1,113,20,4,9,3.5,4,2.5,4.5,3,5,5,5,0,0,1,1,-0.0519918759646515,1.3373944091477
228000,12,85,95,140,2,5.5,7,7,4,4,3,5,0,1,0,1,125,11,3,11,3,4.5,7,7,5.5,4,3,5,0,1,0,1,1.28494207741211,1.67902784198784
234000,10,35,35,103,4.5,7,6,6,7,5,2,5,0,0,0,1,25,14,2,4,4.5,6.5,4,4,5,5,2,5,0,0,0,1,-0.0519918759646515,-1.16791743167995
243000,11,85,85,145,7,7,7,7,7,6,3,5,0,0,0,1,110,25,4,14,4,6,5.5,6,7,6,3,5,0,0,0,1,0.616475100723727,1.25198605093767
250000,10,40,45,99,6.5,3.5,3.5,3.5,3.5,2,4,4,1,0,1,1,28,16,1,5,7,7,7,7,4,2,4,5,1,0,1,1,-0.0519918759646515,-1.08250907346992
256000,10,80,55,99,4,7,7,7,4.5,2,2,5,0,0,0,1,45,20,3,6,4.5,7,7,5.5,5,2,2,5,0,0,0,1,-0.0519918759646515,-0.598528376946393
262000,9,60,50,95,3.5,7,2,5.5,2.5,3,4,2,0,0,0,1,40,20,1,8,3.5,7,7,5.5,5,3,4,5,0,0,0,1,-0.72045885265303,-0.740875640629782
266000,10,95,70,110,7,7,4.5,7,7,3,6,5,0,0,1,1,85,25,3,11,5,7,6.5,7,7,3,6,5,0,0,1,1,-0.0519918759646515,0.540249732520723
274000,11,95,65,140,7,6.5,5.5,1.5,7,4,3,4,0,1,1,1,113,27,4,13,7,4.5,4,4.5,6,4,3,5,0,1,1,1,0.616475100723727,1.3373944091477
275000,9,50,55,103,1.5,4.5,4,1.5,3,5,3,4,0,0,1,1,50,33,1,9,4,6,5.5,4,4,5,3,3,0,0,1,1,-0.72045885265303,-0.456181113263003
280000,11,75,55,99,1.5,6,6.5,3.5,3,4,3,5,0,0,1,1,113,15,4,10,4.5,7,6.5,6.5,3.5,4,3,3,0,0,1,1,0.616475100723727,1.3373944091477
295000,10,75,70,124,7,7,7,7,3.5,3,2,4,0,0,0,1,45,26,4,9,6,6.5,6,6,6,3,2,4,0,0,0,1,-0.0519918759646515,-0.598528376946393
301000,10,90,85,121,5,3,3.5,6.5,2,5,3,3,0,0,0,1,45,28,3,11,4.5,6,6,6,6.5,5,3,5,0,0,0,1,-0.0519918759646515,-0.598528376946393
308000,10,80,80,124,3.5,6.5,3,3,2.5,5,4,5,0,1,1,1,46,22,3,15,4.5,6.5,5,6,4.5,4,3,5,0,1,1,1,-0.0519918759646515,-0.570058924209715
310000,10,85,70,129,4,7,4.5,5,7,3,3,5,0,0,1,1,46,33,3,13,4,7,7,7,6.5,3,3,5,0,0,1,1,-0.0519918759646515,-0.570058924209715
314000,11,55,75,154,5,5,1.5,7,3,3,2,1,0,0,0,1,81,35,4,9,4.5,4.5,7,7,6,3,2,4,0,0,0,1,0.616475100723727,0.426371921574011
336000,9,25,45,110,3.5,3.5,2.5,1.5,1.5,6,6,4,0,0,0,1,40,14,2,7,5.5,6,3.5,5.5,4,5,5,5,0,0,0,1,-0.72045885265303,-0.740875640629782
344000,11,75,90,154,3.5,7,6.5,7,3.5,4,2,3,1,0,1,1,50,26,3,6,3.5,7,5,7,5.5,4,2,5,1,0,1,1,0.616475100723727,-0.456181113263003
365000,6,20,30,107,7,3.5,1.5,1.5,3.5,4,5,2,0,0,1,1,25,11,1,7,5,5,4.5,4.5,4.5,5,3,4,0,0,1,1,-2.72585978271817,-1.16791743167995
