"ID","Maths_points","Gender_factor","Drum_VR_W2_p","Drum_NA_W2_p","BAS_TS_Mat_W2","SDQ_emot_res_PCG_W2","SDQ_good_cond_PCG_W2","SDQ_focused_beha_PCG_W2","SDQ_positive_peer_PCG_W2","PCG_Educ_W2","SCG_Educ_W2","Income_equi","DEIS_binary_W2","Fee_paying_W2","Mixed","SDQ_emot_PCG_W2","SDQ_cond_PCG_W2","SDQ_hyper_PCG_W2","SDQ_peer_PCG_W2","Drum_VR_W2_p_std","Drum_NA_W2_p_std","BAS_TS_Mat_W2_std","PCG_Educ_W2_std","SCG_Educ_W2_std","Income_equi_std","SDQ_emot_PCG_W2_std","SDQ_cond_PCG_W2_std","SDQ_hyper_PCG_W2_std","SDQ_peer_PCG_W2_std","high_sdq_count","low_sdq_count","risk_group","maths_percentile","resilience","gender_binary","Income_equi_quint","low_income","high_income","low_educ_pcg","high_educ_pcg","low_educ_scg","high_educ_scg","Maths_points_jittered"
5000,11,"Male",90,75,145,10,10,10,10,6,6,19000,0,0,1,0,0,0,0,1.1455524345375,0.88560660792047,1.57053013343846,1.64092722406997,1.5722426377044,0.092905945673238,-0.887029219871459,-0.779839558814468,-1.06035619918307,-0.726143622596442,0,4,"Low Risk",0.712813738441215,"Not Applicable",1,4,0,1,0,1,0,1,10.9808328248095
17000,11,"Male",100,85,135,7,9,10,7,6,5,47000,0,0,0,3,1,0,3,1.60182870395434,1.32955308786351,1.01592990884346,1.64092722406997,0.839123827432658,3.01046676648564,0.766487582902221,0.021156797580425,-1.06035619918307,1.45690012156724,2,1,"High Risk",0.662351387054161,"Resilient",1,5,0,1,0,1,0,1,10.9459845966194
20000,6,"Male",55,10,103,4,6,2,7,5,3,17000,0,0,1,6,4,8,3,-0.451414508421461,-2.00004551170929,-0.758790809860567,0.834498423342269,-0.627113793110829,-0.115491255813362,2.4200043856759,2.4241458667651,2.558355751336,1.45690012156724,4,0,"High Risk",0.0388375165125495,"Non-Resilient",1,4,0,1,0,1,1,0,6.05524708186276
36000,10,"Male",45,40,124,10,10,9,9,4,3,41000,0,0,1,0,0,1,1,-0.907690777838306,-0.66820607188017,0.405869661788948,0.0280696226145673,-0.627113793110829,2.38527516202584,-0.887029219871459,-0.779839558814468,-0.608017205368183,0.00153762545811847,0,3,"Low Risk",0.500924702774108,"Not Applicable",1,5,0,1,0,1,1,0,10.0152650332078
66000,11,"Male",85,70,145,8,7,7,5,4,3,16000,0,0,0,2,3,3,5,0.917414299829076,0.66363336794895,1.57053013343846,0.0280696226145673,-0.627113793110829,-0.219689856556662,0.215315315310994,1.62314951037021,0.296660782261584,2.91226261767636,2,0,"High Risk",0.651783355350066,"Resilient",1,3,1,0,0,1,1,0,10.938960951101
69000,11,"Male",70,90,135,2,3,1,8,4,3,10000,0,0,1,8,7,9,2,0.232999895703807,1.55152632783503,1.01592990884346,0.0280696226145673,-0.627113793110829,-0.844881461016462,3.52234892085835,4.82713493594978,3.01069474515088,0.729218873512679,4,0,"High Risk",0.717569352708058,"Resilient",1,2,1,0,0,1,1,0,10.9849514720961
102000,10,"Male",85,75,121,9,6,6,10,6,4,30000,0,1,1,1,4,4,0,0.917414299829076,0.88560660792047,0.239489594410446,1.64092722406997,0.106005017160914,1.23909055384954,-0.335856952280232,2.4241458667651,0.748999776076467,-0.726143622596442,2,1,"High Risk",0.468956406869221,"Non-Resilient",1,5,0,1,0,1,0,1,9.9879950792063
103000,9,"Male",100,65,129,10,10,10,9,6,6,33000,0,0,1,0,0,0,1,1.60182870395434,0.44166012797743,0.683169774086452,1.64092722406997,1.5722426377044,1.55168635607944,-0.887029219871459,-0.779839558814468,-1.06035619918307,0.00153762545811847,0,3,"Low Risk",0.352443857331572,"Not Applicable",1,5,0,1,0,1,0,1,9.08176929093897
108000,10,"Male",95,30,97,9,7,2,9,4,2,10000,0,0,0,1,3,8,1,1.37369056924592,-1.11215255182321,-1.09155094461757,0.0280696226145673,-1.36023260338257,-0.844881461016462,-0.335856952280232,1.62314951037021,2.558355751336,0.00153762545811847,2,0,"High Risk",0.474240422721268,"Non-Resilient",1,2,1,0,0,1,1,0,9.99253290044144
111000,11,"Male",70,80,114,9,10,10,8,5,2,15000,0,0,1,1,0,0,2,0.232999895703807,1.10757984789199,-0.148730562806059,0.834498423342269,-1.36023260338257,-0.323888457299962,-0.335856952280232,-0.779839558814468,-1.06035619918307,0.729218873512679,1,2,"Low Risk",0.865257595772787,"Not Applicable",1,3,1,0,0,1,1,0,11.0863195688464
